#{"t_start": 1752166483.0238326, "env_id": "None"}
r,l,t
-2449.45056,408,6.575654
-2694.466061,418,7.523132
-2736.867304,429,8.205727
-2249.73996,388,8.854379
-3191.112145,435,9.535962
-2098.023902,343,9.907842
-2337.69257,363,10.51751
-1807.727106,354,11.105561
-1911.871812,335,11.437507
-2180.365424,330,12.007999
-2096.193423,357,12.575534
-1716.617079,329,12.90323
-2349.213099,358,13.46886
-2429.650663,355,14.040221
-2238.381119,351,14.403262
-1387.644058,311,14.935858
-2355.709677,343,15.537275
-1103.876947,294,15.834691
-1273.074436,292,16.420137
-1337.739164,295,16.732329
-1973.762596,311,17.375544
-1911.624977,302,17.930253
-1541.702157,306,18.26365
-628.660738,246,18.774352
-716.920436,251,19.07118
-604.258182,248,19.659635
-731.351968,250,19.953285
-1154.500879,263,20.547924
-493.193787,235,20.823475
-725.400838,248,21.354423
-550.245199,228,21.625168
-404.493098,230,21.884007
-369.713348,231,22.399679
-558.624436,242,22.650632
-834.188854,238,23.162775
-715.666357,237,23.415141
-1288.596999,256,23.965419
-660.570358,237,24.221083
-321.988552,217,24.71386
-371.420351,219,24.953536
-664.198523,240,25.425698
-772.227151,243,25.687794
-396.121369,222,25.917587
-1035.04605,251,26.414809
-472.484449,230,26.661969
-257.259258,211,27.1213
-1764.675428,291,27.420986
-2206.060371,297,27.984253
-432.206118,217,28.215278
-414.709603,216,28.684571
-347.220614,215,28.925664
-255.912012,215,29.414978
-638.584892,222,29.65852
-635.594252,221,30.116794
-275.813296,219,30.364328
-545.134355,221,30.605289
-260.362046,214,31.159926
-236.433007,215,31.401326
-186.993653,206,31.866968
-256.920996,214,32.105212
-1948.264169,306,32.642062
-705.07496,223,32.885448
-635.345316,239,33.359984
-184.577285,207,33.588788
-201.455082,208,33.81381
-51.966472,203,34.257599
-101.814507,204,34.477585
-311.59392,215,34.936669
-139.559901,206,35.163533
-552.820576,231,35.424166
-183.167128,209,35.86959
-172.634297,210,36.091004
-187.443386,208,36.564842
-69.268957,203,36.80467
-473.62884,221,37.04306
-384.682006,214,37.519189
-41.056611,201,37.747832
-5.727003,200,38.603892
-18.506105,200,38.828301
-2702.817409,462,39.285783
18.492974,200,39.543219
13.645653,200,39.765804
-32.16719,200,39.982701
3.67177,200,40.175217
-1100.449028,271,40.405681
-53246.24529,5492,43.875214
8.258132,200,44.046883
